plant_name,scientific_name,plant_category,plant_type,days_to_maturity,plant_spacing,sowing_depth,position,season,germination,sowing_method,hardiness_life_cycle,characteristics,description,additional_information,seed_type,image_filename,cool_climate_sowing_period,temperate_climate_sowing_period,subtropical_climate_sowing_period,tropical_climate_sowing_period,arid_climate_sowing_period
Cucumber- Lebanese,Cucumis sativus,vegetable,Summer salad vegetable; Fruit to 22cm; Sweet flavour,60-70 days,40cm,10mm,"Full sun, moist well drained soil",Spring(or after frost) and summer,4-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,Sweet flavour,"**Beit Alpha**: Also known by this name, this summer salad vegetable boasts smooth, green skin with sweet, crisp flesh growing up to 22cm. Excellent for salads and pickling, its flavor is hard to beat.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Cucumber- Lebanese_Cucumis sativus/Cucumber- Lebanese_Cucumis sativus_1.jpg; Cucumber- Lebanese_Cucumis sativus/Cucumber- Lebanese_Cucumis sativus_2.jpg; Cucumber- Lebanese_Cucumis sativus/Cucumber- Lebanese_Cucumis sativus_3.jpg; Cucumber- Lebanese_Cucumis sativus/Cucumber- Lebanese_Cucumis sativus_4.jpg,"October, November, December","January, February, September, October, November, December","January, February, March, July, August, September, October, November, December","February, March, April, May, June, July, August, September","January, February, August, September, October, November, December"
Cucumber- Marketmore,Cucumis sativus,vegetable,Summer salad vegetable; Good disease resistance; Very productive,60-75 days,40cm,10mm,"Full sun, moist well drained soil",Spring(or after frost) and summer,4-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,,"_Marketmore Cucumber_: This dark green, cylindrical fruit has tapered ends and white spines, reaching lengths of up to 23cm x 6cm. Its high yield and excellent flavor make it a staple in many markets. Added bonus: better disease resistance than most varieties.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Cucumber- Marketmore_Cucumis sativus/Cucumber- Marketmore_Cucumis sativus_1.jpg; Cucumber- Marketmore_Cucumis sativus/Cucumber- Marketmore_Cucumis sativus_2.jpg,"October, November, December","January, February, September, October, November, December","January, February, March, July, August, September, October, November, December","February, March, April, May, June, July, August, September","January, February, August, September, October, November, December"
Cucumber- Muncher Burpless,Cucumis sativus,vegetable,Tender burpless variety to 18cm; Good for slicing and pickles; Good disease resistance,65 days,40cm,10mm,"Full sun, moist well drained soil",Spring(or after frost) and summer,4-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,Tender burpless variety to 18cm,"**Long Thin Green Burpless**: This summer salad vegetable produces long, thick green fruits with smooth skin, boasting a crunchy texture and bitter-less taste. Good disease resistance ensures fewer problems for gardeners, making it ideal for slicing, salads, sandwiches, or pickling.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Cucumber- Muncher Burpless_Cucumis sativus/Cucumber- Muncher Burpless_Cucumis sativus_1.jpg,"October, November, December","January, February, September, October, November, December","January, February, March, July, August, September, October, November, December","February, March, April, May, June, July, August, September","January, February, August, September, October, November, December"
Cucumber- Poinsett,Cucumis sativus,vegetable,Summer salad vegetable; Good disease resistance; Green fruits to 20cm,60-70 days,40cm,10mm,"Full sun, moist well drained soil",Spring(or after frost) and summer,4-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,Nutty cucumber-like flavour,"_Dill Pickling Cucumber_: Enjoy the sweet and refreshing flavor of these deep green fruits (up to 20cm x 6cm), adorned with small white spines. Better disease resistance than most varieties makes them a popular choice among gardeners.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Cucumber- Poinsett_Cucumis sativus/Cucumber- Poinsett_Cucumis sativus_1.jpg; Cucumber- Poinsett_Cucumis sativus/Cucumber- Poinsett_Cucumis sativus_2.jpg; Cucumber- Poinsett_Cucumis sativus/Cucumber- Poinsett_Cucumis sativus_3.jpg; Cucumber- Poinsett_Cucumis sativus/Cucumber- Poinsett_Cucumis sativus_4.jpg,"October, November, December","January, February, September, October, November, December","January, February, March, July, August, September, October, November, December","February, March, April, May, June, July, August, September","January, February, August, September, October, November, December"
Cucumber- Redlands Long White,Cucumis sativus,vegetable,Old Australian variety; White skin,70 days,40cm,10mm,"Full sun, moist well drained soil",Spring and summer,4-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,,"**White Spine Cucumber**: An old Australian variety, this produces delicious long cucumbers with thin skin and strong tangy flavor (up to 18cm). Perfect for salads, sandwiches, or pickling, its good yields and powdery mildew resistance make it a top choice.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Cucumber- Redlands Long White_Cucumis sativus/Cucumber- Redlands Long White_Cucumis sativus_1.jpg; Cucumber- Redlands Long White_Cucumis sativus/Cucumber- Redlands Long White_Cucumis sativus_2.jpg,"October, November, December","January, February, September, October, November, December","January, February, March, July, August, September, October, November, December","February, March, April, May, June, July, August, September","January, February, August, September, October, November, December"
Cucumber- Richmond Green Apple,Cucumis sativus,vegetable,Australian Heirloom; Green oval fruit; Crunchy white flesh,70 days,40cm,10mm,"Full sun, moist well drained soil",Spring and summer,4-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,,"_Australian Heirloom_: This compact ""bush"" variety produces green oval-shaped fruits with white interior (up to 12cm), boasting bitter-less skin and crunchy flesh. Heavy production ensures you'll have plenty to enjoy.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Cucumber- Richmond Green Apple_Cucumis sativus/Cucumber- Richmond Green Apple_Cucumis sativus_1.jpg; Cucumber- Richmond Green Apple_Cucumis sativus/Cucumber- Richmond Green Apple_Cucumis sativus_2.jpg,"October, November, December","January, February, September, October, November, December","January, February, March, July, August, September, October, November, December","February, March, April, May, June, July, August, September","January, February, August, September, October, November, December"
Cucumber- Spacemaster,Cucumis sativus,vegetable,Summer salad vegetable; Bush variety; Green fruits to 20cm,60-70 days,40cm,10mm,"Full sun, moist well drained soil",Spring(or after frost) and summer,4-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,Sweet flavour,"**Bush Cucumber**: A perfect choice for container gardens, this compact variety produces green fruits up to 20cm, ideal for salads and slicing. Easy to care for and maintain, it's a great option for space-conscious gardeners.",Container growing; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Cucumber- Spacemaster_Cucumis sativus/Cucumber- Spacemaster_Cucumis sativus_1.jpg; Cucumber- Spacemaster_Cucumis sativus/Cucumber- Spacemaster_Cucumis sativus_2.jpg; Cucumber- Spacemaster_Cucumis sativus/Cucumber- Spacemaster_Cucumis sativus_3.jpg; Cucumber- Spacemaster_Cucumis sativus/Cucumber- Spacemaster_Cucumis sativus_4.jpg,"October, November, December","January, February, September, October, November, December","January, February, March, July, August, September, October, November, December","February, March, April, May, June, July, August, September","January, February, August, September, October, November, December"
Dwarf Bean- Pioneer,Phaseolus vulgaris,vegetable,Dwarf (Bush); Stringless; Flat pale green pods,52 days,10cm,20mm,"Full sun, well drained soil",Spring(or after frost) and early summer,6-10 days @ 16-30°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost tender Annual,Sweet flavour,". _Dwarf Bush Bean_: Enjoy the high yields of this old favorite variety, producing stringless, flat pale green pods with good flavor (up to 17cm). Its compact growth habit makes it perfect for growing in summer.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Dwarf Bean- Pioneer_Phaseolus vulgaris/Dwarf Bean- Pioneer_Phaseolus vulgaris_1.jpg; Dwarf Bean- Pioneer_Phaseolus vulgaris/Dwarf Bean- Pioneer_Phaseolus vulgaris_2.jpg,"January, October, November, December","January, February, September, October, November, December","January, February, March, April, August, September, October, November, December","February, March, April, May, June, July, August, September, October","January, February, September, October, November, December"
Dwarf Bean- Roma 2,Phaseolus vulgaris,vegetable,Dwarf (Bush) Bean; Flavourful and stringless; Italian/Roma style flat pod,60 days,10cm,20mm,"Full sun, well drained soil",Spring (or after frost) and early summer,6-10 days @ 16-30°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost tender Annual,Flavourful and stringless; Sweet flavour,"**Dwarf Green Bean** (also known as 'bush' bean): This European native produces delicious, flat, string-less pods on compact bushes that grow to 50cm high. Each pod measures 15cm long and 1.5cm wide, containing white seeds. These hardy plants thrive in various growing conditions.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Dwarf Bean- Roma 2_Phaseolus vulgaris/Dwarf Bean- Roma 2_Phaseolus vulgaris_1.jpg,"January, October, November, December","January, February, September, October, November, December","January, February, March, April, August, September, October, November, December","February, March, April, May, June, July, August, September, October","January, February, September, October, November, December"
Dwarf Bean- Topnotch Golden Wax,Phaseolus vulgaris,vegetable,Dwarf (Bush); Yellow Butter bean; Improved Disease Resistance,60 days,10cm,20mm,"Full sun, well drained soil",Spring (or after frost) and early summer,6-10 days @ 16-30°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost tender Annual,Sweet flavour,"**Golden Wax Bean**: Enjoy straight, golden yellow pods with a clear, shiny appearance, featuring creamy white seeds with a brown eye. Savor these versatile beans fresh, canned, or frozen – they're also perfect as dry shell beans! This vigorous variety boasts improved disease resistance and produces abundant harvests up to 50cm tall.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Dwarf Bean- Topnotch Golden Wax_Phaseolus vulgaris/Dwarf Bean- Topnotch Golden Wax_Phaseolus vulgaris_1.jpg; Dwarf Bean- Topnotch Golden Wax_Phaseolus vulgaris/Dwarf Bean- Topnotch Golden Wax_Phaseolus vulgaris_2.jpg; Dwarf Bean- Topnotch Golden Wax_Phaseolus vulgaris/Dwarf Bean- Topnotch Golden Wax_Phaseolus vulgaris_3.jpg,"January, October, November, December","January, February, September, October, November, December","January, February, March, April, August, September, October, November, December","February, March, April, May, June, July, August, September, October","January, February, September, October, November, December"
